EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE1,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,DEATHS_DIRECT1,DEATHS_INDIRECT,DEATHS_DIRECT,INJURIES_INDIRECT,INJURIES_DIRECT1,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM1,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE
664215,BERTIE CO.,WINDSOR,14-Feb,2200,Flood, ,0,0,0,0,0,0,5000000,0,5000000,NC,EST-5,111314,C,15,AKQ,Emergency Manager, , ,2,NNW,2,NE,36.0233,-76.9661,36.0241,-76.9222,2013
663004,CENTRAL WILLAMETTE VALLEY (ZONE), ,15-Feb,2000,Strong Wind,42,0,0,0,0,0,0,5000000,0,5000000,OR,PST-8,111130,Z,7,PQR,ASOS, , , , , , , , , , ,2013
660372,CENTRE CO.,YARNELL,16-Feb,2300,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,PA,EST-5,109819,C,27,CTP,Emergency Manager, , ,3,ENE,2,SW,41.0147,-77.7338,40.9562,-77.6225,2013
676509,HUMBOLDT CO.,ENGLEWOOD,17-Feb,1430,Heavy Rain, ,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,113112,C,23,EKA,Department of Highways, , ,1,WSW,1,WSW,40.3971,-123.9447,40.3971,-123.9447,2013
676616,PLACER CO.,ALTA,18-Feb,2200,Flood, ,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,111564,C,61,STO,Newspaper, , ,0,ENE,0,E,39.2015,-120.8115,39.201,-120.8111,2013
675568,SANTA CLARA CO.,LOS GATOS,19-Feb,1015,Hail,0.25,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,113024,C,85,MTR,Public, , ,1,E,1,E,37.2299,-121.96,37.2299,-121.96,2013
675569,SANTA CRUZ CO.,SANTA CRUZ,20-Feb,1047,Hail,0.25,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,113024,C,87,MTR,Trained Spotter, , ,1,NNE,1,NNE,36.9996,-122.0113,36.9996,-122.0113,2013
675570,SANTA CLARA CO.,AGNEW,21-Feb,1059,Hail,0.25,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,113024,C,85,MTR,Trained Spotter, , ,1,W,1,W,37.3499,-121.9697,37.3499,-121.9697,2013
675603,ALAMEDA CO.,OAKLAND,22-Feb,1100,Hail,0.25,0,0,0,0,0,0,5000000,0,5000000,CA,PST-8,113024,C,1,MTR,Public, , ,1,SSE,1,SSE,37.7708,-122.216,37.7708,-122.216,2013
673013,WORTH CO.,RED ROCK,23-Feb,1537,Tornado, ,0,0,0,0,31,31,5000000,0,5000000,GA,EST-5,112358,C,321,TAE,NWS Storm Survey,14.01,2200,4,WNW,5,E,31.5989,-83.9964,31.7096,-83.7969,2013
